Item,Quantidade
100000,1
300000,2
500000,1
600000,1
800000,1
868780,1
1145768,1
1500000,1
1000000000,1
fato,1
trata,4
divulgação,14
atestado,3
médico,3
grupo,7
whatsapp,6
alegação,4
violação,12
intimidade,3
dado,11
sensível,3
base,7
lgpd,38
cf/88,5
decisão,13
considerou,3
foram,11
extrapoladas,1
prerrogativas,1
empregador,7
compartilhar,2
geral,6
funcionários,1
fase,1
recurso,3
aborda,1
exclusão,6
dados,189
pessoas,6
pedido,33
indenização,20
danos,27
morais,22
autora,33
alegou,2
utilizou,3
seus,14
consentimento,16
solicitando,1
informações,16
tribunal,4
determinou,3
conforme,4
proteção,14
(lgpd),3
negou,3
morias,1
haver,3
comprovação,6
lesão,2
direitos,3
personalidade,1
segundo,2
autos,3
agravo,3
instrumento,2
sobre,8
obrigação,9
condomínio,4
apresentar,5
imagens,7
suas,2
câmaras,1
segurança,31
para,81
verificar,1
possível,3
roubo,2
veículo,1
ocorrido,1
estabelecimento,1
manteve,4
primeira,1
instância,4
havia,1
determinado,2
inversão,1
ônus,1
prova,11
impondo,1
apresentação,2
justificou-se,1
invocando,1
teoria,1
dinâmica,1
provas,5
onde,4
possui,2
mais,1
facilidade,1
produzir,1
sendo,7
impossível,1
obter,3
outros,4
meios,1
interposto,1
ação,17
decorrente,1
compartilhamento,10
pessoais,77
aceito,1
entendimento,2
matéria,3
diverge,1
especialmente,1
eventual,2
irregularidade,1
razão,10
transferência,1
reformada,1
determinar,4
prosseguimento,1
feito,1
acórdão,2
provimento,2
falta,5
mencionado,1
golpe,4
teria,3
sido,6
realizado,3
vazamento,23
indevido,11
autor,33
vítima,11
phishing,1
seja,3
qual,3
criminosos,3
disparam,1
ligações,4
massa,1
diversos,2
números,2
telefônicos,2
aleatórios,1
passando,1
banco,13
mesmo,9
saber,1
proprietários,1
possuem,1
contas,1
tais,6
bancos,2
entenderão,1
qualquer,1
falha,11
prestação,2
serviços,5
legitimar,1
responsabilização,1
condenação,7
refere-se,1
devido,4
imagem,7
obtida,1
pelo,26
sistema,14
reclamante,8
divulgando,1
devida,1
cautela,1
sigilo,13
infringindo,1
preceitos,1
leis,1
pertinentes,1
sentença,4
reconheceu,8
embora,1
fossem,2
baixa,1
qualidade,1
causou,3
exposição,2
constrangedoraa,1
teve,7
também,3
incisos,2
xxxvlxxiv,1
direito,8
fundamental,1
empresa,32
ajuizou,2
declaratória,1
indenizatória,1
contra,4
ex-funcionário,1
atuava,1
como,10
assistente,1
seguros,1
posição,1
confiança,1
acesso,24
confidenciais,1
carteira,1
clientes,8
alegado,1
processo,6
quebra,6
confidencialidade,3
abrir,1
concorrente,1
desvio,6
usando,1
privilegiadas,1
inicial,2
reconhecendo,1
usos,1
poderia,1
causar,1
confusão,1
cliente,4
justificando,2
proibição,4
autorização,15
ausência,6
comunicação,3
titular,36
ocorrência,3
incidente,8
possa,2
acarretar-lhe,1
risco,2
dano,20
relevante,1
utilização,9
adequado,1
tratamento,18
artigo,3
inciso,3
captação,2
principais,1
características,1
indivíduos,1
circulação,1
determinados,1
locais,1
horários,2
fins,12
publicitário,1
comerciais,3
comprovada,1
individualização,1
isolada,1
argumentação,1
coleta,5
elaboração,1
métricas,1
publicitarias,1
embargos,2
conhecidos,1
acolhidos,1
parte,10
somente,1
esclarecer,1
questão,2
individuais,1
homogêneos,1
divulgou,2
sensíveis,6
além,8
relacionados,1
condição,1
saúde,3
controlador,1
deve,7
comunicar,1
autoridade,1
nacional,2
(anpd),1
titulares,3
feita,2
prazo,2
razoável,1
incluir,1
caso,5
vídeo,2
gravado,1
