Item,Quantidade
2,11
5,22
6,18
7,19
8,1
11,1
14,10
17,2
18,5
20,2
22,1
39,1
42,6
43,1
44,1
46,6
74,1
82,1
"2, 42",1
Desconhecido,12
"49, 48",2
"5, 47",1
"5, 42, 46, 47",1
"7, 41",1
"6, 5, 11",1
"44, 2, 5, 42",1
"5, 11",3
"7, 2",1
"46, 50",1
"7, 2, 5",1
"7, 46",1
"7, 8, 18",1
"6, 7, 42, 18, 22",1
"7, 6, 18",1
"38, 5, 11",1
"18, 22",1
"6, 11",2
"42, 18",1
"7, 22",1
"7, 10, 22",1
"2, 8",1
"46, 45",1
"6, 46, 41, 47",1
"7, 18, 11, 41, 43",1
"44, 45",1
"44, 6",1
"7, 11, 3, 19",1
"2, 7",1
"44, 42",1
"2, 6",1
"2, 4",1
"7, 6, 11",1
"2, 3",1
"46, 19",1
"43, 46, 49",1
"44, 5, 42, 17, 11, 3",1
55-J,1
"6, 7",1
"2, 1",1
"7, 5",2
"5, 12",1
"7, 3",1
"44, 46",1
"6, 51",1
