Item,Quantidade
loja de calçados,1
seguro,2
condomínio,1
telefonia,1
bacário,1
setor atacadista,1
Secretaria pública,1
Condomínio,1
transporte terrestre,1
negócios,1
Instituto Público,1
Educacional,1
Telemarketing,2
Metrô,4
Instituição Financeira,6
Plataforma de Rede Social,1
Energia,1
Sindicato,12
Proteção ao crédito,1
Instituição de Ensino,2
Hospital,5
Telefonia,7
Rede Social,9
Comércio Varejista,4
Banco Digital,1
Fintech de meios de pagamento,1
Banco,14
Comércio Distribuidora,1
Serviços de Internet,3
Órgão de Proteção ao Crédito,1
Cobranças,1
Saúde,1
Loja de Varejo,2
Construção e incorporação de imóveis,1
Operadora de Telefone,2
Logística,1
Prefeitura,1
Poder Público,2
Comércio de Produtos descartáveis,1
Soluções de Crédito,1
Vendas Online,1
Operadora de Cartão de Crédito,1
Farmácia,1
Comércio de Bebidas e Transporte,1
Construtora e Incorporadora,1
Plataforma de Venda pela Internet,1
Plataforma de Benefícios,1
Alimentício,3
Empresa de Telecomunicação,1
Ensino,1
Transporte,2
Cooperativa,1
Comércio Alimentício,1
Comércio de Roupas,1
Serviços de Turismo,1
Loja de Construção,1
Provedores de aplicações de internet,1
Seguradora de Vida,1
Imobiliário,1
Vendas On-Line,6
Plataforma Digital de Transporte Urbano,1
Aplicativos,1
ADIN,1
Redes Sociais,1
Loja Online,1
Prestadora de serviços eletrônicos na área do transporte,1
Imprensa,2
Serviço de Entrega,1
Proteção ao Crédito,2
Cooperativa de Crédito,1
Saneamento,1
Empresa de Energia Elétrica,2
Energia Elétrica,1
Mercado de software,1
Telefonia Móvel,1
Empresa de Trens Urbanos,1
Constitucional,1
PSB em prol às empresas de Telecomunicações,1
Terceirização de Mão de Obra,1
Farmacêutico,1
Agência Concessionária de Crédito,1
Serviços combinados de escritório e apoio administrativo,1
Estado,1
Provedores de Aplicações,1
Consultoria imobiliária,1
Pessoa Física,2
Congresso Nacional,1
Seguradora,1
Gerenciamento de risco,1
Cartório de Registro de Imóveis,1
Automobilístico,1
Cobrança Extrajudicial,1
Universidade,2
Sistemas de Segurança,1
Município,2
Empresa de Comunicação e Estado,1
